message_text,label_intent
recommend a cheap inn in bayawan for 2 guests,get_accommodation_recommendation
calculate hotel bill for room 12 for 2 nights,calculate_accommodation_billing
book room 5 from 2026-03-10 to 2026-03-12 for 3 guests,book_accommodation
show me hotel recommendations near poblacion under 2500,get_accommodation_recommendation
how much is the room at bayawan pension house,calculate_accommodation_billing
can you reserve an inn near the terminal tomorrow,book_accommodation
show me an inn near poblacion under 1500,get_accommodation_recommendation
recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation
book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation
need an inn near the terminal for 1 budget is under 1000,get_accommodation_recommendation
book room 5 for 2 nights,book_accommodation
2026-03-13 to 2026-03-15,get_accommodation_recommendation
book room 5 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation
book room 3 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation
recommend a hotel in bayawan for 2 guests under 2000,get_accommodation_recommendation
book room 7 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation
under 2000 only,get_recommendation
under 4000 only,get_recommendation
under 3000 only,get_recommendation
under 1000 only,get_recommendation
show me cheaper options,get_recommendation
recommend an inn in bayawan for 2 guests under 1500,get_accommodation_recommendation
need an inn near terminal for 2 guests,get_accommodation_recommendation
2026-06-17 to 2026-06-20,get_accommodation_recommendation
2026-03-15 to 2026-03-17,get_accommodation_recommendation
4 nights,get_recommendation
3,get_recommendation
2026-03-25 to 2026-03-27,get_accommodation_recommendation
recommend a hotel in bayawan,get_accommodation_recommendation
with pool,get_accommodation_recommendation
book room 12 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation
book room 6 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation
with wifi,get_accommodation_recommendation
book room 3 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation
YES,book_accommodation
book room 7 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation
yes,book_accommodation
1600,get_recommendation
book room 6 for 2 guests,book_accommodation
2026-03-29 to 2026-04-01,get_accommodation_recommendation
another room please,get_accommodation_recommendation
3000,get_accommodation_recommendation
1500,get_accommodation_recommendation
book,get_recommendation
book now,get_recommendation
2026-03-29 to 2026-03-31,get_accommodation_recommendation
I choose 1,get_recommendation
Book room 3,book_accommodation
book room 3 from 2026-03-29 to 2026-03-31,book_accommodation
book room 6 from 2026-03-29 to 2026-03-31,book_accommodation
"Recommend a hotel in Poblacion for 2 guests, budget 2000 per night, from 2026-03-20 to 2026-03-22",get_accommodation_recommendation
Find me an inn in Suba for 4 guests under 2500 with wifi and aircon for 2 nights,get_accommodation_recommendation
Recommend accommodation in Bayawan City for 1 guest budget 1200 with parking,get_accommodation_recommendation
show me options with beach view under 3000 for 3 guests in Banga,get_accommodation_recommendation
book room 22 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation
show accommodation bookings,book_accommodation
rreset,get_recommendation
rest,get_recommendation
2026-03-20 to 2026-03-22,get_accommodation_recommendation
broaden location,get_accommodation_recommendation
Kalumboyan,get_recommendation
Recommend an inn in Suba for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation
Recommend an inn in Ubos for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation
include both hotel and inn,get_accommodation_recommendation
Recommend a hotel in Poblacion for 4 guests under 2500 with aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation
book room 60 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation
Recommend an inn in Poblacion for 3 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation
book room 73 for 3 guests from 2026-03-20 to 2026-03-22,book_accommodation
Recommend an inn in Kalumboyan for 3 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation
Recommend a hotel in Poblacion for 2 guests under 2500 from 2026-03-20 to 2026-03-22,get_accommodation_recommendation
show me options with wifi and aircon,get_accommodation_recommendation
2026-3-29 to 2026-03-31,get_accommodation_recommendation
with aircon,get_accommodation_recommendation
2,get_accommodation_recommendation
in villareal,get_accommodation_recommendation
wifi,get_accommodation_recommendation
book room 68 for 2 guests from 2026-03-31 to 2026-04-02,book_accommodation
2026-04-17 to 2026-04-19,get_accommodation_recommendation
with aircon and wifi,get_accommodation_recommendation
book room 68 for 2 from 2026-04-17 to 2026-04-19,book_accommodation
Yes,book_accommodation
2026-04-05 to 2026-04-07,get_accommodation_recommendation
book room 59 for 2 guests from 2026-04-05 to 2026-04-07,book_accommodation
for family,get_recommendation
for 6 guests,get_recommendation
book room 64 for 6 guests from 2026-03-13 to 2026-03-15,book_accommodation
