message_text,label_intent,split
reserve room 22 for 2 nights,book_accommodation,train
reserve a place to stay near bayawan this weekend,book_accommodation,train
book room 12 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,val
book an accommodation with hot shower for tomorrow,book_accommodation,train
please confirm my booking for room 12,book_accommodation,train
book,book_accommodation,train
can i reserve that hotel room now,book_accommodation,train
can you book room 55 with aircon and quiet area,book_accommodation,train
book room 5 for 2 nights,book_accommodation,test
i want to finalize the room booking,book_accommodation,val
book this accommodation from friday to sunday,book_accommodation,train
please reserve a hotel in bayawan for two nights,book_accommodation,train
book an accommodation with quiet area for tomorrow,book_accommodation,train
reserve room 2 for tomorrow night,book_accommodation,train
i want to reserve an inn room tonight,book_accommodation,train
i want this room please proceed to booking,book_accommodation,test
help me reserve an inn from 2026-04-10 to 2026-04-12,book_accommodation,train
make a reservation for 2 guests from may 1 to may 3,book_accommodation,train
set my booking for 3 people this weekend,book_accommodation,train
book room 3 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,train
secure a room for us this weekend,book_accommodation,val
book the cheapest available room tonight,book_accommodation,train
please book any available room under 2000,book_accommodation,test
can you book room 3 with breakfast and parking,book_accommodation,train
can you book room 18 with breakfast and aircon,book_accommodation,train
please create my room reservation,book_accommodation,train
please book room 7 for me,book_accommodation,train
book a place to stay for 3 nights,book_accommodation,train
book an accommodation with parking for tomorrow,book_accommodation,train
reserve a place to stay near villareal this weekend,book_accommodation,train
can you reserve an inn near the terminal tomorrow,book_accommodation,train
reserve one double room for 2 adults,book_accommodation,test
book room 6 from 2026-03-29 to 2026-03-31,book_accommodation,train
book the available inn room for tonight,book_accommodation,train
book room 15 from april 12 to april 14,book_accommodation,train
reserve a room for my family of 4,book_accommodation,train
book an inn for one guest tomorrow,book_accommodation,train
book room 68 for 2 from 2026-04-17 to 2026-04-19,book_accommodation,train
can you book room 40 with hot shower and quiet area,book_accommodation,train
reserve a hotel stay for 2 adults and 1 child,book_accommodation,train
book room 3,book_accommodation,train
reserve my stay from june 10 to june 12,book_accommodation,train
book room 5 from 2026-03-10 to 2026-03-12 for 3 guests,book_accommodation,test
reserve room 8 check in monday check out wednesday,book_accommodation,train
i need to book a stay near poblacion,book_accommodation,train
reserve a place to stay near terminal area this weekend,book_accommodation,test
can you book room 31 with aircon and hot shower,book_accommodation,val
reserve an inn room for tomorrow night,book_accommodation,test
i am ready to reserve now,book_accommodation,train
continue with booking for room 6,book_accommodation,val
can you book room 7 with parking and breakfast,book_accommodation,train
i need to reserve accommodation for next week,book_accommodation,train
book an accommodation with breakfast for tomorrow,book_accommodation,train
book a room for 2 guests this friday,book_accommodation,val
help me book accommodation for saturday,book_accommodation,train
book room 6 for 2 guests,book_accommodation,test
reserve a room near the terminal for tomorrow,book_accommodation,train
can you book a hotel room from april 4 to april 6,book_accommodation,train
book now,book_accommodation,train
lock in this room for me,book_accommodation,train
show accommodation bookings,book_accommodation,train
book room 4 for one night,book_accommodation,test
confirm reservation for room 10,book_accommodation,train
i want to book an inn in poblacion for 5 guests,book_accommodation,val
book an inn room with wifi for two guests,book_accommodation,train
reserve a place to stay near city proper this weekend,book_accommodation,test
reserve a place to stay near poblacion this weekend,book_accommodation,train
book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,train
tour billing for 2 adults and 1 child,calculate_billing,train
what is the cost for a weekend itinerary,calculate_billing,val
total bill for eco tour package,calculate_billing,train
calculate tour bill for 1 guests,calculate_billing,val
compute tour payment for 3 day trip,calculate_billing,train
please estimate tourism package cost under 2200,calculate_billing,train
compute amount due for weekend tour,calculate_billing,train
compute payment for nature excursion,calculate_billing,train
what is the cost for a sunset itinerary,calculate_billing,train
how much do we owe for this tour,calculate_billing,test
what is the tour amount due today,calculate_billing,train
please calculate per head tour cost,calculate_billing,test
calculate the tour cost for the guided heritage walk activity,calculate_billing,val
check tour charge for student group,calculate_billing,train
please check tour billing details,calculate_billing,train
give me the total tour invoice for a sunset trip,calculate_billing,train
calculate travel package bill for two,calculate_billing,train
can you provide a tour price breakdown for 1 people,calculate_billing,train
can you calculate excursion cost,calculate_billing,train
tour billing for 1 adults and budget 2200,calculate_billing,val
need bill computation for adventure tour,calculate_billing,train
what is the package price per guest,calculate_billing,train
estimate tour charges under 1500 budget,calculate_billing,train
how much does this trip cost in total,calculate_billing,val
compute total payment for river tour,calculate_billing,train
what is the cost for a waterfall itinerary,calculate_billing,train
show the payable amount for the eco adventure tour package,calculate_billing,train
can you compute tour invoice amount,calculate_billing,test
i want the exact tour payment amount,calculate_billing,train
please compute billing for group tour,calculate_billing,train
what is the payment due for our city tour activity for 4 people,calculate_billing,test
how much should we pay for city tour,calculate_billing,train
how much is the payable for island trip,calculate_billing,train
what is the total price of boat tour,calculate_billing,val
how much is the nature tour package for 6 pax,calculate_billing,test
how much is the tour cost for 4 people,calculate_billing,val
show tour price computation for family trip,calculate_billing,train
calculate our day trip payment,calculate_billing,train
what is the tour fee for 1 guest,calculate_billing,val
give me the total tour invoice for a waterfall trip,calculate_billing,val
give me the total tour invoice for a weekend trip,calculate_billing,train
