intent,similarity,row_id_a,row_id_b,split_a,split_b,text_a,text_b
book_accommodation,0.913043,59,113,val,train,book accommodation with quiet place and parking,book accomodation with quiet place and aircon
book_accommodation,0.9,76,1073,train,val,reserve an inn sa city proper 4 6 pax now,reserve an inn sa city proper for 6 pax
book_accommodation,0.915254,78,255,test,train,book na room na may parking,pls book na room na may parking?
book_accommodation,0.916667,94,938,test,train,hello book na room na may near terminal,book na room na may near terminal
book_accommodation,0.914286,95,1084,train,val,pls book accomodation with near terminal and parking,book accommodation with near terminal and parking now
book_accommodation,0.918919,139,764,train,val,reserve an inn sa bayawan for 6 pax,pls reserve an inn sa bayawan for 4 pax
book_accommodation,0.903226,155,1549,val,test,book accomodation with hot shower and wifi?,book accommodation with hot shower and wifi thanks
book_accommodation,0.916667,189,480,train,val,reserve an inn sa poblacion 4 2 pax,reserve an inn sa poblacion for 1 pax
book_accommodation,0.909091,204,221,test,train,reserve room now budget around 4000 thanks,"hi, reserve room now budget around 3500 thanks"
book_accommodation,0.916667,280,1206,val,train,hello book room quick lang near bayawan,book room quick lang near bayawan
book_accommodation,0.918919,314,1122,train,val,"can you reserve for 1 nights, 1 guests","can u reserve for 4 nights, 5 guests"
book_accommodation,0.90411,412,1539,test,train,reserve room now budget around 3500 po,reserve room now budget around 1800
book_accommodation,0.912281,496,1884,train,test,i need to book a place near city proper this weekend,hello i need to book a place near city proper this weekend now
book_accommodation,0.9,661,764,train,val,hello reserve an inn sa bayawan for 2 pax,pls reserve an inn sa bayawan for 4 pax
book_accommodation,0.9,787,1582,val,train,quick question: book accomodation with aircon and near terminal,quick question: book accomodation with aircon and parking
book_accommodation,0.915254,880,1646,val,test,i need to book a place near terminal area this weekend,"ask lang, i need to book a place near terminal area this weekend"
book_accommodation,0.90625,1022,1884,val,test,"ask lang, i need to book a place near city proper this weekend now",hello i need to book a place near city proper this weekend now
book_accommodation,0.914286,1028,1810,val,train,"can u reserve 4 4 nights, 2 guests","can you reserve 4 2 nights, 1 guests"
book_accommodation,0.907563,1042,1091,train,test,book accommodation with hot shower and near terminal now,"hi, book accommodation with hot shower and near terminal thanks"
book_accommodation,0.913043,1044,1473,test,train,"hi, can you reserve for 5 nights, 6 guests pls","hi, can you reserve for 1 nights, 6 guests now"
book_accommodation,0.909091,1044,1638,test,train,"hi, can you reserve for 5 nights, 6 guests pls","hi, can you reserve for 2 nights, 4 guests"
book_accommodation,0.909091,1085,1910,test,train,hello i need to book a place near villareal this weekend,i need to book a place near villareal this weekend now
book_accommodation,0.917647,1119,1885,test,train,"ask lang, need room tonight pls, 6 kami thanks","ask lang, need room tonight pls, 6 kami"
book_accommodation,0.9,1122,1852,val,train,"can u reserve for 4 nights, 5 guests","uy can you reserve for 4 nights, 5 guests po"
book_accommodation,0.909091,1165,1297,train,test,book room quick lang near villareal thanks,book room quick lang near villareal
book_accommodation,0.911111,1441,1473,val,train,"hi, can you reserve 4 5 nights, 1 guests now","hi, can you reserve for 1 nights, 6 guests now"
book_accommodation,0.917647,1778,1857,val,train,reserve an inn sa near downtown 4 4 pax,"hi, reserve an inn sa near downtown 4 4 pax po"
calculate_accommodation_billing,0.91358,4,1401,train,val,hello calculate room bill for 4 nights pls,uy calculate room bill for 4 nights pls
calculate_accommodation_billing,0.901408,7,795,train,test,pls calculate room bill for 5 nights,uy calculate room bill for 2 nights
calculate_accommodation_billing,0.909091,45,795,val,test,calcuate room bill for 3 nights,uy calculate room bill for 2 nights
calculate_accommodation_billing,0.911765,45,1447,val,train,calcuate room bill for 3 nights,hello calcuate room bill for 3 nights
calculate_accommodation_billing,0.909091,187,373,val,train,pa compute ng room payment with aircon thanks,pa compute ng room payment with wifi thanks
calculate_accommodation_billing,0.915663,187,682,val,train,pa compute ng room payment with aircon thanks,pa compute ng room payment with aircon
calculate_accommodation_billing,0.9,187,1227,val,train,pa compute ng room payment with aircon thanks,"ask lang, pa compute ng room payment with aircon thanks"
calculate_accommodation_billing,0.910891,188,1126,train,val,uy bill estimate for inn stay near terminal area now,pls bill estimate for inn stay near terminal area
calculate_accommodation_billing,0.90411,211,970,val,train,uy hm total if 1 guests for 5 nights,"hi, hm total if 1 guests for 3 nights"
calculate_accommodation_billing,0.915663,228,1609,test,train,bill estimate for inn stay near nangka thanks,bill estimate for inn stay near nangka
calculate_accommodation_billing,0.900901,254,986,train,test,pls total stay payment from 2026-04-17 to 2026-04-19 thanks,total stay payment from 2026-04-17 to 2026-04-19 now
