aug_id,source_query_id,label_intent,message_text,source
AUGB_00001,BA_001,book_accommodation,book a hotel or inn room in Bayawan for two adults this Saturday.,manual_failure_paraphrase_v1
AUGB_00002,BA_001,book_accommodation,Please process this room reservation request: Book a hotel room in Bayawan for two adults this Saturday.,manual_failure_paraphrase_v1
AUGB_00003,BA_002,book_accommodation,I want to book an inn for 3 guests from April 5 to April 7.,manual_failure_paraphrase_v1
AUGB_00004,BA_002,book_accommodation,Please process this room reservation request: I want to reserve an inn for 3 guests from April 5 to April 7.,manual_failure_paraphrase_v1
AUGB_00005,BA_003,book_accommodation,Please process this room reservation request: Please confirm my accommodation booking for tomorrow night.,manual_failure_paraphrase_v1
AUGB_00006,BA_003,book_accommodation,I need help with this: Please confirm my accommodation booking for tomorrow night.,manual_failure_paraphrase_v1
AUGB_00007,BA_004,book_accommodation,Please process this room reservation request: Can you help me book a room near the city plaza?,manual_failure_paraphrase_v1
AUGB_00008,BA_004,book_accommodation,I need help with this: Can you help me book a room near the city plaza?,manual_failure_paraphrase_v1
AUGB_00009,BA_005,book_accommodation,book one family room for 4 people.,manual_failure_paraphrase_v1
AUGB_00010,BA_005,book_accommodation,Please process this room reservation request: Reserve one family room for 4 people.,manual_failure_paraphrase_v1
AUGB_00011,BA_006,book_accommodation,Please process this room reservation request: Proceed with booking the cheapest available inn room.,manual_failure_paraphrase_v1
AUGB_00012,BA_006,book_accommodation,I need help with this: Proceed with booking the cheapest available inn room.,manual_failure_paraphrase_v1
AUGB_00013,BA_007,book_accommodation,Please process this room reservation request: I need to book lodging for my parents this weekend.,manual_failure_paraphrase_v1
AUGB_00014,BA_007,book_accommodation,I need help with this: I need to book lodging for my parents this weekend.,manual_failure_paraphrase_v1
AUGB_00015,BA_008,book_accommodation,book this hotel or inn option now and save my reservation.,manual_failure_paraphrase_v1
AUGB_00016,BA_008,book_accommodation,Please process this room reservation request: Book this hotel option now and save my reservation.,manual_failure_paraphrase_v1
AUGB_00017,BA_009,book_accommodation,Please process this room reservation request: Set an accommodation booking for check-in on May 12.,manual_failure_paraphrase_v1
AUGB_00018,BA_009,book_accommodation,I need help with this: Set an accommodation booking for check-in on May 12.,manual_failure_paraphrase_v1
AUGB_00019,BA_010,book_accommodation,Please process this room reservation request: Finalize my room reservation in Bayawan City.,manual_failure_paraphrase_v1
AUGB_00020,BA_010,book_accommodation,I need help with this: Finalize my room reservation in Bayawan City.,manual_failure_paraphrase_v1
AUGB_00021,BA_011,book_accommodation,Can we book two rooms for six guests?,manual_failure_paraphrase_v1
AUGB_00022,BA_011,book_accommodation,Please process this room reservation request: Can we reserve two rooms for six guests?,manual_failure_paraphrase_v1
AUGB_00023,BA_012,book_accommodation,I am ready to book the hotel or inn you recommended.,manual_failure_paraphrase_v1
AUGB_00024,BA_012,book_accommodation,Please process this room reservation request: I am ready to book the hotel you recommended.,manual_failure_paraphrase_v1
AUGB_00025,BA_013,book_accommodation,Please process this room reservation request: Please make the inn reservation under my account.,manual_failure_paraphrase_v1
AUGB_00026,BA_013,book_accommodation,I need help with this: Please make the inn reservation under my account.,manual_failure_paraphrase_v1
AUGB_00027,BA_014,book_accommodation,Please process this room reservation request: Secure our accommodation booking before it gets full.,manual_failure_paraphrase_v1
AUGB_00028,BA_014,book_accommodation,I need help with this: Secure our accommodation booking before it gets full.,manual_failure_paraphrase_v1
AUGB_00029,BA_015,book_accommodation,Create a hotel or inn booking for one night and two persons.,manual_failure_paraphrase_v1
AUGB_00030,BA_015,book_accommodation,Please process this room reservation request: Create a hotel booking for one night and two persons.,manual_failure_paraphrase_v1
AUGB_00031,CAB_001,calculate_accommodation_billing,How much is the hotel or inn billing total for 2 guests for 3 nights at 1800 per night?,manual_failure_paraphrase_v1
AUGB_00032,CAB_001,calculate_accommodation_billing,Please compute accommodation billing: How much is the hotel bill for 2 guests for 3 nights at 1800 per night?,manual_failure_paraphrase_v1
AUGB_00033,CAB_002,calculate_accommodation_billing,calculate my accommodation total if room rate is 2500 for 2 nights.,manual_failure_paraphrase_v1
