message_id,message_text,label_intent,label_accommodation_type,label_budget_level,label_location_signal,source,timestamp,split
MSG000003,show me an inn near poblacion under 1500,get_accommodation_recommendation,hotel,low,without_location,chatbot_log,2026-02-25T17:55:51.902862+00:00,
MSG000004,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,hotel,low,without_location,chatbot_log,2026-02-25T18:34:39.129519+00:00,
MSG000005,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T18:39:31.364820+00:00,
MSG000006,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T18:42:19.776059+00:00,
MSG000007,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T18:51:14.823166+00:00,
MSG000008,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T18:52:36.029866+00:00,
MSG000009,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T18:52:36.032859+00:00,
MSG000010,need an inn near the terminal for 1 budget is under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:04:41.178279+00:00,
MSG000011,book room 5 for 2 nights,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:01.224176+00:00,
MSG000012,book room 5 for 2 nights,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:01.227168+00:00,
MSG000013,2026-03-13 to 2026-03-15,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:42.268482+00:00,
MSG000014,book room 5 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:54.923584+00:00,
MSG000015,book room 5 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:54.927099+00:00,
MSG000016,book room 3 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:06:17.955806+00:00,
MSG000017,book room 3 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:06:17.957805+00:00,
MSG000018,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:07:30.871189+00:00,
MSG000019,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:07:54.572987+00:00,
MSG000020,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:07:54.576976+00:00,
MSG000021,recommend a hotel in bayawan for 2 guests under 2000,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-02-25T19:35:21.608054+00:00,
MSG000022,book room 7 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:36:27.519963+00:00,
MSG000023,book room 7 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:36:27.524950+00:00,
MSG000024,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:38:30.542457+00:00,
MSG000025,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:39:08.356103+00:00,
MSG000026,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:39:08.358099+00:00,
MSG000027,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:43:48.637340+00:00,
