aug_id,source_query_id,label_intent,message_text,source
AUG_0001,BA_001,book_accommodation,book a hotel or inn room in Bayawan for two adults this Saturday.,manual_failure_paraphrase_v1
AUG_0002,BA_001,book_accommodation,Please process this room reservation request: Book a hotel room in Bayawan for two adults this Saturday.,manual_failure_paraphrase_v1
AUG_0003,BA_002,book_accommodation,I want to book an inn for 3 guests from April 5 to April 7.,manual_failure_paraphrase_v1
AUG_0004,BA_002,book_accommodation,Please process this room reservation request: I want to reserve an inn for 3 guests from April 5 to April 7.,manual_failure_paraphrase_v1
AUG_0005,BA_003,book_accommodation,Please process this room reservation request: Please confirm my accommodation booking for tomorrow night.,manual_failure_paraphrase_v1
AUG_0006,BA_003,book_accommodation,I need help with this: Please confirm my accommodation booking for tomorrow night.,manual_failure_paraphrase_v1
AUG_0007,BA_004,book_accommodation,Please process this room reservation request: Can you help me book a room near the city plaza?,manual_failure_paraphrase_v1
AUG_0008,BA_004,book_accommodation,I need help with this: Can you help me book a room near the city plaza?,manual_failure_paraphrase_v1
AUG_0009,BA_005,book_accommodation,book one family room for 4 people.,manual_failure_paraphrase_v1
AUG_0010,BA_005,book_accommodation,Please process this room reservation request: Reserve one family room for 4 people.,manual_failure_paraphrase_v1
AUG_0011,BA_006,book_accommodation,Please process this room reservation request: Proceed with booking the cheapest available inn room.,manual_failure_paraphrase_v1
AUG_0012,BA_006,book_accommodation,I need help with this: Proceed with booking the cheapest available inn room.,manual_failure_paraphrase_v1
AUG_0013,BA_007,book_accommodation,Please process this room reservation request: I need to book lodging for my parents this weekend.,manual_failure_paraphrase_v1
AUG_0014,BA_007,book_accommodation,I need help with this: I need to book lodging for my parents this weekend.,manual_failure_paraphrase_v1
AUG_0015,BA_008,book_accommodation,book this hotel or inn option now and save my reservation.,manual_failure_paraphrase_v1
AUG_0016,BA_008,book_accommodation,Please process this room reservation request: Book this hotel option now and save my reservation.,manual_failure_paraphrase_v1
AUG_0017,BA_009,book_accommodation,Please process this room reservation request: Set an accommodation booking for check-in on May 12.,manual_failure_paraphrase_v1
AUG_0018,BA_009,book_accommodation,I need help with this: Set an accommodation booking for check-in on May 12.,manual_failure_paraphrase_v1
AUG_0019,BA_010,book_accommodation,Please process this room reservation request: Finalize my room reservation in Bayawan City.,manual_failure_paraphrase_v1
AUG_0020,BA_010,book_accommodation,I need help with this: Finalize my room reservation in Bayawan City.,manual_failure_paraphrase_v1
AUG_0021,BA_011,book_accommodation,Can we book two rooms for six guests?,manual_failure_paraphrase_v1
AUG_0022,BA_011,book_accommodation,Please process this room reservation request: Can we reserve two rooms for six guests?,manual_failure_paraphrase_v1
AUG_0023,BA_012,book_accommodation,I am ready to book the hotel or inn you recommended.,manual_failure_paraphrase_v1
AUG_0024,BA_012,book_accommodation,Please process this room reservation request: I am ready to book the hotel you recommended.,manual_failure_paraphrase_v1
