message_text,label_intent,split
recommend inn in nangka for 5 guests under 4000,get_accommodation_recommendation,train
"ask lang, facts about tourism sites near terminal area",get_tourism_information,train
please estimate charge for room plus service fee,calculate_accommodation_billing,train
"ask lang, room charge hm with extra guest",calculate_accommodation_billing,train
hello calculate room bill for 4 nights pls,calculate_accommodation_billing,train
recommend inn in terminal area for 5 guests under 3000,get_accommodation_recommendation,train
what is the lodging amount due for 2 guests,calculate_accommodation_billing,train
pls calculate room bill for 5 nights,calculate_accommodation_billing,train
"hi, bill estimate for inn stay near villareal thanks",calculate_accommodation_billing,train
pls facts about tourisn sites near poblacion,get_tourism_information,train
"ask lang, recomend a waterfall tour in bayawan",get_recommendation,train
uy looking 4 rooms near near downtown,get_accommodation_recommendation,train
"ask lang, what tour bagay for friends",get_recommendation,train
"ask lang, pa compute ng room payment with hot shower",calculate_accommodation_billing,train
quick question: suggest trip idea near nangka,get_recommendation,train
hello recommend inn in kalumboyan for 4 guests under 3500,get_accommodation_recommendation,train
"hi, ano entrance fee and schedule pls",get_tourism_information,train
uy book accommodation with breakfast and aircon,book_accommodation,train
i want to finalize the room booking,book_accommodation,train
quick question: need outdoor destination reco,get_recommendation,train
what is total sa farm itinerary now,calculate_billing,train
pa suggest place to stay near city proper,get_accommodation_recommendation,train
"ask lang, pa compute tour cost budget 2500 po",calculate_billing,train
quick question: compute lodging cost sa poblacion,calculate_accommodation_billing,val
hello room charge hm with extra guest,calculate_accommodation_billing,train
hm tour package for heritage trip,calculate_billing,train
quick question: share information sa local attractions,get_tourism_information,train
"ask lang, need outdoor destination reco thanks",get_recommendation,train
hello recommend inn in villareal for 5 guests under 3000 thanks,get_accommodation_recommendation,train
show me local attraction descriptions,get_tourism_information,train
hm tour package for nature trip,calculate_billing,train
compute total payment for weekend package,calculate_billing,train
tourism info about poblacion,get_tourism_information,train
"ask lang, suggest trip idea near poblacion",get_recommendation,train
book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,train
quick question: what tour bagay for friends?,get_recommendation,test
need accom options with quiet place and hot shower,get_accommodation_recommendation,train
"hi, hm total if 5 guests 4 3 nights po",calculate_accommodation_billing,train
quick question: book accommodation with aircon and quiet place,book_accommodation,train
hotel suggestion please with breakfast thanks,get_accommodation_recommendation,train
where is the location and contact number of the eco park,get_tourism_information,train
"ask lang, recommend a heritage tour in bayawan",get_recommendation,train
quick question: details about heritage destinations please,get_tourism_information,train
"ask lang, recommend a family tour in bayawan thanks",get_recommendation,train
uy list must-visit places in bayawan po,get_tourism_information,train
calcuate room bill for 3 nights,calculate_accommodation_billing,train
hello san okay mag stay 4 3 nights,get_accommodation_recommendation,train
"ask lang, best adventure activity for family",get_recommendation,train
