message_text,label_intent,split
reserve room 22 for 2 nights,book_accommodation,train
tour billing for 2 adults and 1 child,calculate_billing,train
what is the cost for a weekend itinerary,calculate_billing,val
what are the tourist spots in city proper,get_tourism_information,train
where is the location and contact number of the eco park,get_tourism_information,test
reserve room 8 for 5 nights,book_accommodation,train
what places are recommended for photos,get_tourism_information,train
recommend an inn in kalumboyan for 3 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,train
recommend an inn in bayawan for 2 guests under 1800,get_accommodation_recommendation,val
how much is overnight room charge,calculate_accommodation_billing,train
can you estimate hotel charges for 5 nights,calculate_accommodation_billing,train
recommend an outdoor tour with views,get_recommendation,val
reserve a place to stay near bayawan this weekend,book_accommodation,train
recommend which tour is worth trying,get_recommendation,test
any inn suggestion with parking,get_accommodation_recommendation,val
can you compute lodging invoice today,calculate_accommodation_billing,test
book room 12 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,val
what tour can you suggest for 2 guests,get_recommendation,train
tell me where the landmarks are located,get_tourism_information,train
total bill for eco tour package,calculate_billing,train
calculate the hotel room amount due for this 2-night stay,calculate_accommodation_billing,val
what tour fits a senior guests group with budget 2500,get_recommendation,val
book an accommodation with hot shower for tomorrow,book_accommodation,train
please confirm my booking for room 12,book_accommodation,train
give me tourism information about half-day attractions,get_tourism_information,train
calculate tour bill for 1 guests,calculate_billing,val
what do you recommend for sightseeing,get_recommendation,train
what are the entrance fees and schedules for a weekend visit,get_tourism_information,train
compute tour payment for 3 day trip,calculate_billing,train
calculate lodging cost for one guest two nights,calculate_accommodation_billing,train
please estimate tourism package cost under 2200,calculate_billing,train
recommend a nature tour in bayawan,get_recommendation,train
do you have background info for waterfall sites,get_tourism_information,train
compute amount due for weekend tour,calculate_billing,train
compute payment for nature excursion,calculate_billing,train
room billing for check in tomorrow check out sunday,calculate_accommodation_billing,train
calculate bill for accommodation from august 3 to august 6,calculate_accommodation_billing,train
show me points of interest in bayawan,get_tourism_information,train
book,book_accommodation,train
what are the entrance fees and schedules for a short trip visit,get_tourism_information,val
recommend a weekend itinerary near city proper,get_recommendation,train
